,murderandn,robbery,aggravated,burglary,larcenythe,motorvehic,arson,otherassau,forgeryand,fraud,embezzleme,stolenprop,vandalism,weaponscar,prostituti,sexoffense,drugabusev,gambling,offensesag,drivingund,liquorlaws,drunkennes,disorderly,allotherof,population,year,state,decrim,medical,recreational,st
98,240,2065,7740,4302,19746,1816,224,19359,3185,5291,261,3283,2208,3435,2378,2836,25750,632,2405.0,21708.0,8397,3743.0,15687.0,49766,3985922.0,2001,GEORGIA,0,0,0,GA
99,28,412,621,705,4518,1145,22,3663,544,498,39,149,673,286,480,432,2455,220,1528.0,2926.0,655,0.0,423.0,23793,1074143.0,2001,HAWAII,0,1,0,HI
100,18,79,1035,1137,5837,392,87,6560,482,693,129,308,1490,568,2,359,4831,0,472.0,8728.0,5112,206.0,2011.0,26070,1219934.0,2001,IDAHO,0,0,0,ID
101,558,3168,6175,3570,23939,10687,222,32866,72,3010,0,0,5815,5533,6097,2134,57473,2086,551.0,6820.0,987,0.0,17032.0,35211,2910709.0,2001,ILLINOIS,0,0,0,IL
102,236,1495,8956,3076,17434,1947,185,11221,1215,2318,17,5034,2578,1681,833,1232,17885,207,1321.0,23907.0,12562,16666.0,8062.0,51079,4202710.0,2001,INDIANA,0,0,0,IN
103,25,247,2458,1466,7404,477,82,7430,783,1356,123,118,1893,426,253,279,6533,5,433.0,7927.0,6005,5665.0,2731.0,13495,2037297.0,2001,IOWA,0,0,0,IA
104,40,459,2237,1219,4761,599,58,3336,883,1843,62,868,565,665,374,219,8485,62,698.0,5420.0,1091,4847.0,1794.0,11389,886140.0,2001,KENTUCKY,0,0,0,KY
105,276,1410,8660,5450,24204,1491,200,27143,1414,2284,33,2347,4053,1775,428,1178,22131,172,1907.0,13592.0,3591,4027.0,15575.0,72761,3202673.0,2001,LOUISIANA,0,0,0,LA
106,3,192,528,1326,5572,413,74,7372,298,1150,20,334,1791,377,70,319,4948,2,439.0,6757.0,3448,31.0,1885.0,18660,1249260.0,2001,MAINE,1,1,0,ME
107,315,2364,6190,5825,19343,3145,422,29864,697,4314,205,214,3256,3109,1101,1271,46856,184,2052.0,20796.0,5062,0.0,4251.0,96033,3827966.0,2001,MARYLAND,0,0,0,MD
108,73,1526,10805,3012,12040,1187,122,16205,697,722,31,1535,2604,1140,1619,559,16528,15,1931.0,11319.0,4694,7550.0,7709.0,27977,5140671.0,2001,MASSACHUSETTS,0,0,0,MA
109,109,1010,7929,3760,23141,1978,322,23279,654,5670,1340,2063,3541,3021,859,1209,27552,166,3156.0,46546.0,28021,716.0,8719.0,104894,8315523.0,2001,MICHIGAN,0,0,0,MI
110,71,277,1965,2068,14554,1124,129,11105,1498,3902,1,1122,3054,808,61,732,10518,33,419.0,22646.0,22565,0.0,7438.0,23634,3633051.0,2001,MINNESOTA,1,0,0,MN
111,101,428,1221,1821,7487,462,373,10216,925,2207,526,496,1001,706,56,257,9361,299,2452.0,9807.0,3381,5110.0,7169.0,27585,1181781.0,2001,MISSISSIPPI,1,0,0,MS
112,345,2349,9720,5442,28719,3393,321,31809,2450,4355,109,2350,8201,4101,1320,2690,32389,34,4234.0,22666.0,8555,1929.0,12134.0,90765,4590976.0,2001,MISSOURI,0,0,0,MO
113,7,41,638,270,2615,190,22,1818,96,190,2,31,628,69,2,55,442,1,252.0,2614.0,1993,0.0,1749.0,4630,516210.0,2001,MONTANA,0,0,0,MT
114,45,268,807,874,8578,464,120,8649,761,1926,175,1078,2575,1026,364,639,10363,45,1358.0,10636.0,11319,0.0,3506.0,18476,1341179.0,2001,NEBRASKA,0,0,0,NE
115,139,1231,2449,4618,11629,1886,180,17646,635,2568,481,1639,1599,1875,4054,1505,9901,75,1116.0,8824.0,7752,386.0,3434.0,55016,2072750.0,2001,NEVADA,0,1,0,NV
116,2,72,264,279,1531,144,27,4210,126,718,23,296,729,124,9,113,2763,0,104.0,3005.0,2553,4034.0,799.0,6578,668273.0,2001,NEWHAMPSHIRE,0,0,0,NH
117,248,3970,10611,6269,28702,1388,481,31441,1562,5480,150,7262,7845,5185,1934,1802,52260,567,16477.0,24135.0,9845,11.0,23995.0,110347,8167848.0,2001,NEWJERSEY,0,0,0,NJ
118,50,292,1851,728,3695,249,24,4895,242,243,113,631,522,500,412,64,3813,0,391.0,6768.0,2748,1503.0,1464.0,26252,847902.0,2001,NEWMEXICO,0,0,0,NM
119,172,2328,7098,5236,25483,1885,333,28040,3641,9692,265,4733,10669,2894,1133,3569,34632,98,3234.0,18943.0,5905,0.0,12020.0,62039,6028497.0,2001,NEWYORK,0,0,0,NY
120,957,4703,18428,15312,43519,2337,502,58896,5055,37832,2936,6759,9836,7442,1566,2151,39917,426,7411.0,66512.0,14951,0.0,18775.0,131020,7477980.0,2001,NORTHCAROLINA,0,0,0,NC
121,3,14,131,288,2132,205,51,1380,146,1548,4,95,596,107,4,69,1301,3,227.0,3165.0,6372,289.0,1466.0,4722,545323.0,2001,NORTHDAKOTA,0,0,0,ND
122,167,2217,7484,5358,23819,1738,367,24346,2041,3167,283,4536,3951,3078,2154,1616,20464,409,14440.0,21273.0,15389,9142.0,14457.0,78997,6065292.0,2001,OHIO,0,0,0,OH
123,158,643,4640,2958,10391,1659,222,9579,1003,2994,689,1415,1307,2075,400,943,20400,13,1143.0,21161.0,3326,23877.0,2483.0,34871,3257436.0,2001,OKLAHOMA,0,0,0,OK
124,111,1087,2212,3268,20855,2377,302,15189,2778,1395,80,455,4315,1766,359,1391,15742,14,614.0,16359.0,15071,0.0,5998.0,23195,3200800.0,2001,OREGON,1,1,0,OR
125,507,6406,15030,9267,35995,5869,799,41847,3271,10060,299,3332,12300,3493,3074,3105,47917,437,1107.0,36752.0,24863,17843.0,49719.0,45149,9704690.0,2001,PENNSYLVANIA,0,0,0,PA
126,25,241,739,866,2794,338,77,5186,171,905,126,244,1309,402,303,138,3906,47,518.0,1894.0,1313,114.0,2582.0,11557,964115.0,2001,RHODEISLAND,0,0,0,RI
127,86,478,2901,1341,5119,310,84,8303,685,7827,154,577,1149,743,165,249,8644,34,191.0,5856.0,3964,2279.0,4387.0,6850,1225330.0,2001,SOUTHCAROLINA,0,0,0,SC
128,6,27,273,389,2239,76,73,1959,77,289,14,79,369,86,0,134,1741,0,128.0,3407.0,5231,220.0,1209.0,7047,364655.0,2001,SOUTHDAKOTA,0,0,0,SD
129,191,1183,8087,3047,17956,1690,256,21700,2206,9966,400,387,2388,2622,1360,495,21579,125,665.0,23668.0,5336,20087.0,10876.0,50939,4613519.0,2001,TENNESSEE,0,0,0,TN
130,792,6695,21400,17945,84339,9218,809,99036,8336,15605,540,711,11455,10010,6641,4481,102015,306,5683.0,90617.0,30114,140049.0,34496.0,277256,20738511.0,2001,TEXAS,0,0,0,TX
131,41,305,859,1169,12898,562,126,8584,1000,786,21,661,2550,835,372,625,7058,0,898.0,7365.0,10632,4111.0,3591.0,27432,1730721.0,2001,UTAH,0,0,0,UT
